name,base_channels,depth,parameter_count,macs_per_slice,flops_per_slice,receptive_field_proxy_pixels,largest_single_activation_bytes,input_shape,output_shape,parameter_relative_difference_to_res,mac_relative_difference_to_res
plain_unet_w39_d3,39,3,2861707,12048566400,24097132800,103,8985600,1x4x240x240,1x4x240x240,0.35698508825620406,0.2737267390880748
plain_unet_w40_d3,40,3,3010204,12672000000,25344000000,103,9216000,1x4x240x240,1x4x240x240,0.32361836505595387,0.33963367108339826
plain_unet_w41_d3,41,3,3162457,13311158400,26622316800,103,9446400,1x4x240x240,1x4x240x240,0.28940768263538175,0.40720296667965705
plain_unet_w42_d3,42,3,3318466,13966041600,27932083200,103,9676800,1x4x240x240,1x4x240x240,0.25435304099448774,0.47643462587685115
plain_unet_w43_d3,43,3,3478231,14636649600,29273299200,103,9907200,1x4x240x240,1x4x240x240,0.21845444013327187,0.5473286486749805
plain_unet_w44_d3,44,3,3641752,15322982400,30645964800,103,10137600,1x4x240x240,1x4x240x240,0.18171188005173408,0.6198850350740452
plain_unet_w45_d3,45,3,3809029,16025040000,32050080000,103,10368000,1x4x240x240,1x4x240x240,0.1441253607498744,0.6941037850740452
plain_unet_w46_d3,46,3,3980062,16742822400,33485644800,103,10598400,1x4x240x240,1x4x240x240,0.10569488222769283,0.7699848986749805
plain_unet_w47_d3,47,3,4154851,17476329600,34952659200,103,10828800,1x4x240x240,1x4x240x240,0.06642044448518937,0.8475283758768511
plain_unet_w48_d3,48,3,4333396,18225561600,36451123200,103,11059200,1x4x240x240,1x4x240x240,0.026302047522364022,0.926734216679657
plain_unet_w49_d3,49,3,4515697,18990518400,37981036800,103,11289600,1x4x240x240,1x4x240x240,0.01466030866078322,1.0076024210833983
plain_unet_w50_d3,50,3,4701754,19771200000,39542400000,103,11520000,1x4x240x240,1x4x240x240,0.05646662406425235,1.0901329890880749
plain_unet_w51_d3,51,3,4891567,20567606400,41135212800,103,11750400,1x4x240x240,1x4x240x240,0.09911689868804337,1.1743259206936867
plain_unet_w52_d3,52,3,5085136,21379737600,42759475200,103,11980800,1x4x240x240,1x4x240x240,0.1426111325321563,1.260181215900234
plain_unet_w53_d3,53,3,5282461,22207593600,44415187200,103,12211200,1x4x240x240,1x4x240x240,0.18694932559659108,1.3476988747077163
plain_unet_w54_d3,54,3,5483542,23051174400,46102348800,103,12441600,1x4x240x240,1x4x240x240,0.23213147788134778,1.4368788971161341
plain_unet_w55_d3,55,3,5688379,23910480000,47820960000,103,12672000,1x4x240x240,1x4x240x240,0.2781575893864264,1.5277212831254872
plain_unet_w56_d3,56,3,5896972,24785510400,49571020800,103,12902400,1x4x240x240,1x4x240x240,0.3250276601118268,1.6202260327357756
plain_unet_w57_d3,57,3,6109321,25676265600,51352531200,103,13132800,1x4x240x240,1x4x240x240,0.3727416900575492,1.7143931459469992
plain_unet_w58_d3,58,3,6325426,26582745600,53165491200,103,13363200,1x4x240x240,1x4x240x240,0.42129967922359346,1.8102226227591582
plain_unet_w59_d3,59,3,6545287,27504950400,55009900800,103,13593600,1x4x240x240,1x4x240x240,0.4707016276099596,1.9077144631722525
plain_unet_w60_d3,60,3,6768904,28442880000,56885760000,103,13824000,1x4x240x240,1x4x240x240,0.5209475352166476,2.006868667186282
plain_unet_w61_d3,61,3,6996277,29396534400,58793068800,103,14054400,1x4x240x240,1x4x240x240,0.5720374020436576,2.107685234801247
plain_unet_w62_d3,62,3,7227406,30365913600,60731827200,103,14284800,1x4x240x240,1x4x240x240,0.6239712280909894,2.2101641660171474
plain_unet_w63_d3,63,3,7462291,31351017600,62702035200,103,14515200,1x4x240x240,1x4x240x240,0.6767490133586431,2.314305460833983
plain_unet_w64_d3,64,3,7700932,32351846400,64703692800,103,14745600,1x4x240x240,1x4x240x240,0.7303707578466188,2.420109119251754
plain_unet_w4_d4,4,4,122144,174182400,348364800,215,921600,1x4x240x240,1x4x240x240,0.9725546978149635,0.9815861262665627
plain_unet_w5_d4,5,4,190549,269280000,538560000,215,1152000,1x4x240x240,1x4x240x240,0.9571843489155708,0.9715327844894778
plain_unet_w6_d4,6,4,274102,384998400,769996800,215,1382400,1x4x240x240,1x4x240x240,0.9384103007964135,0.9592994933749026
plain_unet_w7_d4,7,4,372803,521337600,1042675200,215,1612800,1x4x240x240,1x4x240x240,0.9162325534574915,0.9448862529228371
plain_unet_w8_d4,8,4,486652,678297600,1356595200,215,1843200,1x4x240x240,1x4x240x240,0.8906511068988049,0.9282930631332814
plain_unet_w9_d4,9,4,615649,855878400,1711756800,215,2073600,1x4x240x240,1x4x240x240,0.8616659611203537,0.9095199240062354
plain_unet_w10_d4,10,4,759794,1054080000,2108160000,215,2304000,1x4x240x240,1x4x240x240,0.8292771161221377,0.8885668355416991
plain_unet_w11_d4,11,4,919087,1272902400,2545804800,215,2534400,1x4x240x240,1x4x240x240,0.7934845719041571,0.8654337977396727
plain_unet_w12_d4,12,4,1093528,1512345600,3024691200,215,2764800,1x4x240x240,1x4x240x240,0.7542883284664119,0.8401208106001559
plain_unet_w13_d4,13,4,1283117,1772409600,3544819200,215,2995200,1x4x240x240,1x4x240x240,0.7116883858089021,0.8126278741231489
plain_unet_w14_d4,14,4,1487854,2053094400,4106188800,215,3225600,1x4x240x240,1x4x240x240,0.6656847439316276,0.7829549883086516
plain_unet_w15_d4,15,4,1707739,2354400000,4708800000,215,3456000,1x4x240x240,1x4x240x240,0.6162774028345885,0.7511021531566641
plain_unet_w16_d4,16,4,1942772,2676326400,5352652800,215,3686400,1x4x240x240,1x4x240x240,0.5634663625177847,0.7170693686671863
plain_unet_w17_d4,17,4,2192953,3018873600,6037747200,215,3916800,1x4x240x240,1x4x240x240,0.5072516229812163,0.6808566348402182
plain_unet_w18_d4,18,4,2458282,3382041600,6764083200,215,4147200,1x4x240x240,1x4x240x240,0.44763318422488324,0.64246395167576
plain_unet_w19_d4,19,4,2738759,3765830400,7531660800,215,4377600,1x4x240x240,1x4x240x240,0.3846110462487855,0.6018913191738113
plain_unet_w20_d4,20,4,3034384,4170240000,8340480000,215,4608000,1x4x240x240,1x4x240x240,0.3181852090529232,0.5591387373343726
plain_unet_w21_d4,21,4,3345157,4595270400,9190540800,215,4838400,1x4x240x240,1x4x240x240,0.24835567263729616,0.5142062061574435
plain_unet_w22_d4,22,4,3671078,5040921600,10081843200,215,5068800,1x4x240x240,1x4x240x240,0.17512243700190452,0.46709372564302415
plain_unet_w23_d4,23,4,4012147,5507193600,11014387200,215,5299200,1x4x240x240,1x4x240x240,0.09848550214674824,0.4178012957911146
plain_unet_w24_d4,24,4,4368364,5994086400,11988172800,215,5529600,1x4x240x240,1x4x240x240,0.01844486807182731,0.36632891660171474
plain_unet_w25_d4,25,4,4739729,6501600000,13003200000,215,5760000,1x4x240x240,1x4x240x240,0.06499946522285827,0.3126765880748246
plain_unet_w26_d4,26,4,5126242,7029734400,14059468800,215,5990400,1x4x240x240,1x4x240x240,0.1518474977373085,0.2568443102104443
plain_unet_w27_d4,27,4,5527903,7578489600,15156979200,215,6220800,1x4x240x240,1x4x240x240,0.24209922947152335,0.19883208300857366
plain_unet_w28_d4,28,4,5944712,8147865600,16295731200,215,6451200,1x4x240x240,1x4x240x240,0.33575466042550284,0.1386399064692128
plain_unet_w29_d4,29,4,6376669,8737862400,17475724800,215,6681600,1x4x240x240,1x4x240x240,0.432813790599247,0.07626778059236165
plain_unet_w30_d4,30,4,6823774,9348480000,18696960000,215,6912000,1x4x240x240,1x4x240x240,0.5332766199927558,0.011715705378020264
plain_unet_w31_d4,31,4,7286027,9979718400,19959436800,215,7142400,1x4x240x240,1x4x240x240,0.6371431486060293,0.05501631917381138
plain_unet_w32_d4,32,4,7763428,10631577600,21263155200,215,7372800,1x4x240x240,1x4x240x240,0.7444133764390674,0.12392829306313329
plain_unet_w33_d4,33,4,8255977,11304057600,22608115200,215,7603200,1x4x240x240,1x4x240x240,0.85508730349187,0.19502021628994545
plain_unet_w34_d4,34,4,8763674,11997158400,23994316800,215,7833600,1x4x240x240,1x4x240x240,0.9691649297644374,0.2682920888542479
plain_unet_w35_d4,35,4,9286519,12710880000,25421760000,215,8064000,1x4x240x240,1x4x240x240,1.0866462552567695,0.34374391075604055
plain_unet_w36_d4,36,4,9824512,13445222400,26890444800,215,8294400,1x4x240x240,1x4x240x240,1.207531279968866,0.42137568199532344
plain_unet_w37_d4,37,4,10377653,14200185600,28400371200,215,8524800,1x4x240x240,1x4x240x240,1.3318200039007273,0.5011874025720966
plain_unet_w38_d4,38,4,10945942,14975769600,29951539200,215,8755200,1x4x240x240,1x4x240x240,1.4595124270523534,0.5831790724863601
plain_unet_w39_d4,39,4,11529379,15771974400,31543948800,215,8985600,1x4x240x240,1x4x240x240,1.5906085494237439,0.6673506917381138
plain_unet_w40_d4,40,4,12127964,16588800000,33177600000,215,9216000,1x4x240x240,1x4x240x240,1.7251083710148991,0.7537022603273578
plain_unet_w41_d4,41,4,12741697,17426246400,34852492800,215,9446400,1x4x240x240,1x4x240x240,1.863011891825819,0.842233778254092
plain_unet_w42_d4,42,4,13370578,18284313600,36568627200,215,9676800,1x4x240x240,1x4x240x240,2.0043191118565034,0.9329452455183165
plain_unet_w43_d4,43,4,14014607,19163001600,38326003200,215,9907200,1x4x240x240,1x4x240x240,2.149030031106953,1.0258366621200312
plain_unet_w44_d4,44,4,14673784,20062310400,40124620800,215,10137600,1x4x240x240,1x4x240x240,2.2971446495771666,1.120908028059236
plain_unet_w45_d4,45,4,15348109,20982240000,41964480000,215,10368000,1x4x240x240,1x4x240x240,2.448662967267145,1.2181593433359315
plain_unet_w46_d4,46,4,16037582,21922790400,43845580800,215,10598400,1x4x240x240,1x4x240x240,2.603584984176888,1.317590607950117
plain_unet_w47_d4,47,4,16742203,22883961600,45767923200,215,10828800,1x4x240x240,1x4x240x240,2.761910700306396,1.4192018219017928
plain_unet_w48_d4,48,4,17461972,23865753600,47731507200,215,11059200,1x4x240x240,1x4x240x240,2.9236401156556684,1.5229929851909587
plain_unet_w49_d4,49,4,18196889,24868166400,49736332800,215,11289600,1x4x240x240,1x4x240x240,3.0887732302247053,1.628964097817615
plain_unet_w50_d4,50,4,18946954,25891200000,51782400000,215,11520000,1x4x240x240,1x4x240x240,3.257310044013507,1.7371151597817616
plain_unet_w51_d4,51,4,19712167,26934854400,53869708800,215,11750400,1x4x240x240,1x4x240x240,3.429250557022073,1.8474461710833983
plain_unet_w52_d4,52,4,20492528,27999129600,55998259200,215,11980800,1x4x240x240,1x4x240x240,3.6045947692504043,1.9599571317225253
plain_unet_w53_d4,53,4,21288037,29084025600,58168051200,215,12211200,1x4x240x240,1x4x240x240,3.7833426806985,2.0746480416991426
