candidate_id,metric,patient_count,finite_count,nan_count,positive_infinity_count,negative_infinity_count,mean_finite,median_finite,standard_deviation_finite,bootstrap_lower_finite,bootstrap_upper_finite
bunet,tc_lesion_precision,74,73,1,0,0,0.3079302435389589,0.2983333333333333,0.199071175990027,0.2635861786829927,0.35385236398131553
bunet,et_lesion_precision,74,72,2,0,0,0.30320928047954354,0.2537301587301587,0.21315576011767876,0.2547588681795783,0.3528906716965409
bunet,wt_lesion_wise_dice,74,74,0,0,0,0.3648081145316495,0.2854407870508764,0.2830068758288026,0.3032764419740973,0.43156183444898094
bunet,tc_lesion_wise_dice,74,74,0,0,0,0.43874050054872116,0.34486844711886455,0.32802514256735693,0.36525290882406664,0.5128268425896589
bunet,et_lesion_wise_dice,74,69,5,0,0,0.36748807868457906,0.22208936621225273,0.33167065456323797,0.29165271341164856,0.44634629507447865
bunet,wt_false_positive_lesion_count,74,74,0,0,0,20.948648648648646,16.5,17.023885261059256,17.31081081081081,24.94324324324324
bunet,tc_false_positive_lesion_count,74,74,0,0,0,5.737837837837837,4.1,5.375737036506899,4.599932432432433,7.0297297297297305
bunet,et_false_positive_lesion_count,74,74,0,0,0,7.383783783783784,4.699999999999999,8.235290365534475,5.645945945945946,9.386554054054052
bunet,wt_relative_volume_error,74,74,0,0,0,0.0754301263873473,0.05883797623975408,0.3310308246796326,0.0023987107879406984,0.1569750264863465
bunet,tc_relative_volume_error,74,74,0,0,0,-0.120850740173458,-0.07378247351715994,0.425232091775113,-0.21726770289118028,-0.026241572527871695
bunet,et_relative_volume_error,74,69,0,5,0,0.13109877387204238,-0.02674380382617842,1.053199878952992,-0.07416469044245927,0.42087010062242675
unet_reference,mean_regional_dice,74,74,0,0,0,0.7355293941591515,0.7975434802470273,0.18737306271861337,0.6916422131087856,0.7754255506188711
unet_reference,wt_dice,74,74,0,0,0,0.8096245423227746,0.8467351462298438,0.12623800070924207,0.7794102775834536,0.8368814826841328
unet_reference,tc_dice,74,74,0,0,0,0.6927306230773156,0.7886429200452739,0.2711655041511386,0.6288940891368007,0.7529126765653992
unet_reference,et_dice,74,74,0,0,0,0.7042330170773645,0.805141700836137,0.26700210824661774,0.6413296892082062,0.7625987872141772
unet_reference,wt_hd95_mm,74,74,0,0,0,21.926154680775173,14.007984557291868,18.639054757752145,17.824457647783895,26.329465933140696
unet_reference,tc_hd95_mm,74,71,0,3,0,17.417610111856657,10.820934507496068,17.007572150008084,13.705293981277322,21.478727313881297
unet_reference,et_hd95_mm,74,70,0,4,0,14.803652558120838,6.0095995392009325,17.56510036659082,10.948308795461296,19.175666604274074
unet_reference,wt_surface_dice,74,74,0,0,0,0.6054615766340806,0.6267893034732244,0.16003272638395533,0.5685839208530504,0.641278298198297
unet_reference,tc_surface_dice,74,74,0,0,0,0.577427230087093,0.6690281728540295,0.2775474556353241,0.5127389903631148,0.6382691985432437
unet_reference,et_surface_dice,74,74,0,0,0,0.7336725891352893,0.833921008190233,0.2714691603559694,0.6697030411354326,0.7927730494869312
unet_reference,wt_lesion_recall,74,74,0,0,0,0.4237150347444465,0.3333333333333333,0.32275922319244993,0.3525490490012549,0.49904685553582606
unet_reference,tc_lesion_recall,74,74,0,0,0,0.5847704847704849,0.5,0.3718064022598081,0.49957846239096243,0.6701945695695695
unet_reference,et_lesion_recall,74,69,5,0,0,0.47001506529213266,0.3333333333333333,0.37027570303390234,0.38510699402898885,0.5582187376459543
unet_reference,wt_lesion_precision,74,74,0,0,0,0.3097940379642375,0.24904100529100526,0.21399260566625455,0.263693771303296,0.36049723417778395
unet_reference,tc_lesion_precision,74,71,3,0,0,0.27662052343514354,0.21805555555555553,0.21000384571169575,0.2291716402959435,0.32692951392532593
unet_reference,et_lesion_precision,74,71,3,0,0,0.2785761612495615,0.25204248366013066,0.19870409005762862,0.2340536666376121,0.32510726276838064
unet_reference,wt_lesion_wise_dice,74,74,0,0,0,0.3509007231054998,0.26016203530700666,0.28524030815774726,0.2871476122639767,0.41535823887620027
unet_reference,tc_lesion_wise_dice,74,74,0,0,0,0.42079002601743276,0.30921111428556425,0.334531197471798,0.3453184260446161,0.4975144546195721
unet_reference,et_lesion_wise_dice,74,69,5,0,0,0.35620877565856357,0.21556299619920014,0.331158936723789,0.28276597308923956,0.43268689848489156
unet_reference,wt_false_positive_lesion_count,74,74,0,0,0,7.166666666666666,5.833333333333334,6.0847014787281,5.815315315315316,8.612725225225224
unet_reference,tc_false_positive_lesion_count,74,74,0,0,0,7.536036036036036,5.5,6.825910338999893,6.094481981981983,9.166666666666668
unet_reference,et_false_positive_lesion_count,74,74,0,0,0,8.24774774774775,5.333333333333333,9.02964183630591,6.369369369369369,10.441554054054052
unet_reference,wt_relative_volume_error,74,74,0,0,0,-0.0934906106237801,-0.07990742229095657,0.26080371155337057,-0.15247394287881888,-0.034796041577340266
unet_reference,tc_relative_volume_error,74,74,0,0,0,-0.20345984144543824,-0.1319701709921054,0.4177875274732682,-0.2959424018274491,-0.10970789964854404
unet_reference,et_relative_volume_error,74,71,0,3,0,0.020100619899291756,-0.06083449051114193,0.7176786817851245,-0.1274692565063465,0.2050277175585261
unet_res,mean_regional_dice,74,74,0,0,0,0.7559864312915746,0.8108311855265018,0.1550791782131659,0.7193243975970199,0.7899012281256315
unet_res,wt_dice,74,74,0,0,0,0.8273701603085991,0.853879422017694,0.10118258137370738,0.8039430801035691,0.8491847906279897
