comparison_id,comparison_role,first_candidate,second_candidate,metric,formal_hypothesis_test,paired_patient_count,excluded_nonfinite_pair_count,paired_mean_difference,paired_median_difference,paired_bootstrap_lower,paired_bootstrap_upper,standardized_paired_effect_dz,permutation_p_value,holm_adjusted_p_value,reject_holm_alpha_0_05
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_hd95_mm,False,71,3,3.515275984813686,0.737410709367623,1.3109407140419778,5.9176925609433,0.3522891562003891,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_hd95_mm,False,69,5,1.9062977938457766,-0.027614237491539795,-0.4570919490462578,4.403804855904662,0.18647920531326154,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_surface_dice,False,74,0,0.031919809084747654,0.013944364992908631,0.006459738333362719,0.05817873459315059,0.2812613255269085,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_surface_dice,False,74,0,0.017437498527210393,0.022449476594747525,0.005374208507468559,0.030566267526376516,0.31135432916307015,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_surface_dice,False,74,0,0.013877846299927688,0.008605892924169523,-0.009819806964219064,0.034940773058429575,0.14080841114559695,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_lesion_recall,False,74,0,0.023739685063214475,0.0,0.01033971313750725,0.0396134863855452,0.3692395121392384,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_lesion_recall,False,74,0,0.005763620763620766,0.0,-0.009845184470184464,0.02273829186329186,0.07914035904810615,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_lesion_recall,False,69,5,0.006466371240454788,0.0,-0.008348200392957422,0.023142098358210888,0.09646681036519683,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_lesion_precision,False,74,0,-0.15583513108935731,-0.08807153957153958,-0.19922805840844426,-0.11509247390536388,-0.8346876702461716,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_lesion_precision,False,71,3,0.01805497006047687,0.018780284043441953,-0.018428932307972185,0.05258862707674864,0.11691260146896312,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_lesion_precision,False,71,3,0.0015743440255902965,0.0,-0.031222079707267068,0.03505571240291188,0.01098837598991889,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_lesion_wise_dice,False,74,0,0.01447048667090876,0.005846040964358604,0.009153289954360858,0.02033630650741328,0.5741023172545949,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_lesion_wise_dice,False,74,0,0.01875631554127378,0.01250079503303625,0.006528083280066817,0.03403103242987402,0.30793082495384544,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_lesion_wise_dice,False,69,5,0.014220352451273451,0.002240189744715189,0.002423388181961442,0.03258275029633809,0.21208960897386359,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_false_positive_lesion_count,False,74,0,10.976576576576576,9.166666666666666,8.73686936936937,13.449594594594595,1.0461029071675336,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_false_positive_lesion_count,False,74,0,-1.2225225225225222,-0.6333333333333333,-1.9945945945945942,-0.45585585585585575,-0.3537288736159963,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_false_positive_lesion_count,False,74,0,-0.4531531531531533,-0.10000000000000009,-1.0622072072072068,0.14504504504504498,-0.17196596932218783,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_relative_volume_error,False,74,0,0.1269716300543226,0.08177721458445775,0.0931169157147999,0.16541286770511912,0.7853704663525846,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_relative_volume_error,False,74,0,0.08296609140722191,0.06526418618075319,0.061632388042595965,0.10599905173931848,0.8472951971648167,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_relative_volume_error,False,70,4,0.11703113904774057,0.0422105901614145,0.05330754180186291,0.20114861696472014,0.36130778619883236,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,mean_regional_dice,True,74,0,-0.0037311054066309656,-0.002215846565736146,-0.007580952150832946,-0.00019757535220950903,-0.22918337346593873,0.04952950470495295,0.04952950470495295,True
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_dice,False,74,0,-0.004157124175546248,-0.005271875704233875,-0.007047856394331213,-0.0012343065771949512,-0.3179899563759302,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_dice,False,74,0,-0.0014233971371001796,0.0008974330892952409,-0.006606032957794701,0.003555330018472806,-0.06320656832873615,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_dice,False,74,0,-0.005612794907246485,-0.004735156521723516,-0.013904404743919158,0.002856431009524422,-0.15570624265917601,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_hd95_mm,False,74,0,3.9578577334994836,1.6563885991482508,2.750188689026802,5.254135295038033,0.7136529547037642,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_hd95_mm,False,72,2,0.9660182850325341,0.030319113050778057,-0.6457461837980398,2.585958630753602,0.13749491038388315,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_hd95_mm,False,68,6,-0.39600773227111813,0.1043571496234077,-1.5618014879610833,0.7443628947334151,-0.08107430143144945,,,False
